pair_id,detected_left,detected_right,common_count,common_ids,mean_abs_vertical_error_px,median_abs_vertical_error_px,p95_abs_vertical_error_px,max_abs_vertical_error_px,status
000012,True,True,22,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0.084672,0.072540,0.223526,0.241394,PASS
000013,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.174657,0.137054,0.415352,0.630615,PASS
000014,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.098019,0.083694,0.277664,0.304443,PASS
000015,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.089567,0.052673,0.253740,0.266052,PASS
000016,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.098811,0.103119,0.182147,0.183350,PASS
000017,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.082122,0.069061,0.189326,0.236053,PASS
000018,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.087046,0.075592,0.183185,0.238953,PASS
000019,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.174911,0.170273,0.347202,0.389038,PASS
000020,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.198255,0.142227,0.440155,0.477783,PASS
000021,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.175724,0.139709,0.473921,0.552979,PASS
000022,True,True,22,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0.222386,0.199005,0.475693,0.490662,PASS
000023,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.183202,0.120163,0.499313,0.647034,PASS
000024,True,True,22,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0.175504,0.177795,0.342125,0.391083,PASS
000025,True,True,14,1 2 3 4 5 7 8 9 10 11 15 16 17 21,0.309834,0.297470,0.557764,0.611877,PASS
000026,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.170954,0.147354,0.413226,0.493378,PASS
000027,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.205845,0.181152,0.433185,0.490662,PASS
000028,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.262037,0.226990,0.523106,0.648010,PASS
000029,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.153528,0.108490,0.440128,0.479614,PASS
000030,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.249917,0.240707,0.528912,0.550964,PASS
000031,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.182966,0.166901,0.387994,0.573425,PASS
000033,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.190240,0.124237,0.490912,0.500885,PASS
